IndirectNetworkEffectsStrengthA,IndirectNetworkEffectsStrengthB,aAdoptersA_user_TMAX,aAdoptersA_cmpl_TMAX,aAdoptersB_user_TMAX,aAdoptersB_cmpl_TMAX,mhg_user_TMAX,mhg_cmpl_TMAX,mhg_ratios_user_TMAX,mhg_ratios_cmpl_TMAX
0.01,1.7185714285714286,3.3089959561539594e7,58.054927175470254,1.0778916599954788e7,45.08657454428828,2.0821276161494482e7,0.0,0.4746252464924146,0.0
0.01,1.779591836734694,3.2010011867821373e7,58.05493316648511,9.640575130431239e6,45.08657338545069,1.86029869982524e7,0.0,0.4466440532766767,0.0
0.01,1.8406122448979592,3.102666590070245e7,58.05493823073373,8.615769552942608e6,45.08657239236658,1.659483545364512e7,0.0,0.4186129147652872,0.0
0.01,1.9016326530612244,3.0142269014265567e7,58.05494251739288,7.701658663381823e6,45.08657153990511,1.479632767764743e7,0.0,0.39098287587064906,0.0
0.01,1.96265306122449,2.9354053863636505e7,58.05494615264587,6.891886472656345e6,45.08657080669139,1.3198340336292839e7,0.0,0.3641329267177935,0.0
0.01,2.023673469387755,2.8656050284907486e7,58.05494924251998,6.178024451652224e6,45.0865701746104,1.1786474736559728e7,0.0,0.33836049401907514,0.0
0.01,2.0846938775510204,2.8040560243779466e7,58.0549518756341,5.55069451045592e6,45.086569628357196,1.0543654754235333e7,0.0,0.3138809440545214,0.0
0.01,2.145714285714286,2.7499207005793456e7,58.054954125774216,5.000368314725357e6,45.086569155033324,9.451975320519008e6,0.0,0.2908338102052504,0.0
0.01,2.206734693877551,2.7023626668057926e7,58.054956054235646,4.517887143353721e6,45.08656874378294,8.493913811411537e6,0.0,0.2692931563842208,0.0
0.01,2.2677551020408164,2.6605886536052264e7,58.05495771188697,4.094764458364569e6,45.08656838547847,7.653050994417009e6,0.0,0.249279762693266,0.0
0.01,2.3287755102040815,2.6238709264614504e7,58.05495914094577,3.7233325994511144e6,45.08656807244096,6.914441864065614e6,0.0,0.23077338638787206,0.0
0.01,2.389795918367347,2.5915567127907388e7,58.05496037648415,3.3967853589971187e6,45.08656779820632,6.264752486904527e6,0.0,0.21372397489090472,0.0
0.01,2.4508163265306124,2.563069463839796e7,58.0549614476868,3.109155996900567e6,45.08656755732483,5.692250635298623e6,0.0,0.19806124629984515,0.0
0.01,2.5118367346938775,2.537905347570607e7,58.054962378893094,2.8552588636323577e6,45.08656734519392,5.186712339338364e6,0.0,0.1837024495939927,0.0
0.01,2.572857142857143,2.5156272458659213e7,58.054963190451176,2.6306135444716644e6,45.086567157916214,4.739286003130893e6,0.0,0.17055837068597382,0.0
0.01,2.633877551020408,2.495857707065146e7,58.05496389942387,2.4313635297393063e6,45.086566992185,4.342340600390728e6,0.0,0.15853778815163902,0.0
0.01,2.6948979591836735,2.478271733129004e7,58.05496452016185,2.2541965615976644e6,45.08656684518676,3.98931389288778e6,0.0,0.1475506379423431,0.0
0.01,2.755918367346939,2.462589899564065e7,58.05496506477059,2.0962705582493783e6,45.086566714519,3.6745695538900555e6,0.0,0.13751015038205,0.0
0.01,2.816938775510204,2.4485720615421906e7,58.05496554350048,1.9551469348286244e6,45.08656659812818,3.3932675502505563e6,0.0,0.12833419870969417,0.0
0.01,2.8779591836734695,2.436011748583349e7,58.05496596505435,1.828731867767219e6,45.08656649424962,3.1412493536006487e6,0.0,0.11994606220333075,0.0
0.01,2.9389795918367345,2.424731261165182e7,58.054966336848665,1.7152253153940502e6,45.08656640136588,2.9149379270458235e6,0.0,0.11227476817700686,0.0
0.01,3.0,2.414577433528471e7,58.05496666522317,1.6130772194770612e6,45.086566318166994,2.711251554761759e6,0.0,0.10525514109190004,0.0
0.07102040816326531,0.01,3.2649846265387377e6,58.05422545565481,8.6458001474084e6,45.086721366118596,3.173939106254656e6,0.0,0.26647606908296423,0.0
0.07102040816326531,0.07102040816326531,3.9872498498611324e6,58.0542261469301,9.042533990230365e6,45.086721179130095,3.8653082026878307e6,0.0,0.2966517518728605,0.0
0.07102040816326531,0.1320408163265306,5.099941106728979e6,58.05422741224972,9.646379964170005e6,45.08672084329147,4.916607472551724e6,0.0,0.3334124795542643,0.0
0.07102040816326531,0.19306122448979593,6.8968071306057945e6,58.05422993424061,1.0607798663274456e7,45.08672018685691,6.592818944352845e6,0.0,0.376633385634868,0.0
0.07102040816326531,0.2540816326530612,9.876212973241748e6,58.05423533294372,1.218214241431108e7,45.08671880082584,9.354515092271892e6,0.0,0.42408035086561774,0.0
0.07102040816326531,0.31510204081632653,1.4580330955635702e7,58.05424689343122,1.4669296035585633e7,45.08671581361299,1.3786105553671628e7,0.0,0.4713258585420334,0.0
0.07102040816326531,0.37612244897959185,2.0642451464743197e7,58.05426810902699,1.7971705549740396e7,45.08671009011398,1.98691845382077e7,0.0,0.5145569934559251,0.0
0.07102040816326531,0.43714285714285717,2.620755032109807e7,58.05429708864874,2.1164260436087154e7,45.08670172024032,2.61231190608931e7,0.0,0.5514486071641418,0.0
0.07102040816326531,0.4981632653061224,3.0050841380993586e7,58.054327655192736,2.3419302506016985e7,45.08669249365671,3.100694617928714e7,0.0,0.5798927013327079,0.0
0.07102040816326531,0.5591836734693878,3.251778819142314e7,58.054357024873184,2.4771775806379505e7,45.08668376211309,3.439943521663555e7,0.0,0.6004485427390396,0.0
0.07102040816326531,0.6202040816326531,3.427886716991496e7,58.054386039281276,2.5575918901397303e7,45.08667564652197,3.6843396695745915e7,0.0,0.6155463767233235,0.0
0.07102040816326531,0.6812244897959183,3.5733474129205644e7,58.054416252636244,2.6081820284185916e7,45.0866677951603,3.877483667146577e7,0.0,0.6272693034859291,0.0
0.07102040816326531,0.7422448979591837,3.704729569701927e7,58.05444867861438,2.640363681590339e7,45.08665991783673,4.040453832545785e7,0.0,0.6367839955264473,0.0
0.07102040816326531,0.803265306122449,3.826774438417023e7,58.05448362639416,2.6578667456169102e7,45.08665190375052,4.1798985621579506e7,0.0,0.6445844023643788,0.0
0.07102040816326531,0.8642857142857143,3.939039370968202e7,58.05452078597235,2.6609743628553998e7,45.086643791539004,4.295255868713112e7,0.0,0.6507949895165948,0.0
0.07102040816326531,0.9253061224489796,4.038823513463546e7,58.0545593274944,2.648614305437829e7,45.08663571794812,4.382678042532608e7,0.0,0.6553598195927005,0.0
