IndirectNetworkEffectsStrengthA,IndirectNetworkEffectsStrengthB,aAdoptersA_user_TMAX,aAdoptersA_cmpl_TMAX,aAdoptersB_user_TMAX,aAdoptersB_cmpl_TMAX,mhg_user_TMAX,mhg_cmpl_TMAX,mhg_ratios_user_TMAX,mhg_ratios_cmpl_TMAX
0.01,0.9253061224489796,2.010764137406599e7,134.21518305342977,5.355192807649653e6,107.95890181678526,401701.1411622905,0.0,0.015775979150457028,0.0
0.01,0.9863265306122448,2.0107627768110313e7,134.21897440718033,5.326496247311872e6,106.05767370713508,373437.8709731991,0.0,0.014682552886301964,0.0
0.01,1.04734693877551,2.0107615075848576e7,134.22208641708497,5.299920181584126e6,104.48107265275257,347260.8496070024,0.0,0.013667632302327119,0.0
0.01,1.1083673469387756,2.0107603242828824e7,134.22464285723782,5.275299947083832e6,103.23264342232481,323008.5520914451,0.0,0.012725437656785098,0.0
0.01,1.1693877551020408,2.0107592216511067e7,134.22674457116517,5.252484707797105e6,102.27835741754375,300532.9587347896,0.0,0.011850632773385729,0.0
0.01,1.230408163265306,2.01075819464899e7,134.22847378938894,5.231336155824582e6,101.5670860885169,279698.28578520304,0.0,0.01103828840110009,0.0
0.01,1.2914285714285714,2.0107572384637285e7,134.22989762163726,5.211727352134108e6,101.04582862010304,260379.85523423238,0.0,0.010283848998243854,0.0
0.01,1.3524489795918366,2.0107563485175807e7,134.23107088359401,5.193541689272245e6,100.66780047163664,242463.08583579012,0.0,0.009583102562676079,0.0
0.01,1.4134693877551021,2.0107555204710715e7,134.23203838677415,5.176671961551429e6,100.39520390302533,225842.59004170613,0.0,0.008932153178209768,0.0
0.01,1.4744897959183674,2.0107547502215937e7,134.23283679499332,5.161019530369544e6,100.19907637418049,210421.363769758,0.0,0.008327395989586818,0.0
0.01,1.5355102040816326,2.0107540338999547e7,134.23349613068387,5.146493573800633e6,100.05793573185872,196110.0577859293,0.0,0.00776549435480601,0.0
0.01,1.596530612244898,2.010753367864363e7,134.2340409981435,5.133010410827479e6,99.95616312495036,182826.32105513287,0.0,0.0072433589548252806,0.0
